,Category,Day,Month,Label,SequenceNumber,Set,Path1,Path2,Path3,Path4,Path9,Path10,Path11,Path12,Path13,Path14,Path15,Path16,Path17,Path18,Path19,Path20,Path21,Path22
0,no_voice,9,12,turn-off,3324,Testing,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch1/003324.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch2/003324.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch3/003324.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch4/003324.png,,,,,,,,,,,,,,
1,no_voice,9,12,turn-off,2413,Validation,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch1/002413.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch2/002413.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch3/002413.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch4/002413.png,,,,,,,,,,,,,,
2,no_voice,9,12,turn-off,2943,Validation,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch1/002943.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch2/002943.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch3/002943.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch4/002943.png,,,,,,,,,,,,,,
3,no_voice,9,12,lights-on,702,Training,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch1/000702.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch2/000702.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch3/000702.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch4/000702.png,,,,,,,,,,,,,,
4,no_voice,9,12,turn-off,3912,Training,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch1/003912.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch2/003912.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch3/003912.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch4/003912.png,,,,,,,,,,,,,,
5,no_voice,9,12,lights-on,1970,Training,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch1/001970.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch2/001970.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch3/001970.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch4/001970.png,,,,,,,,,,,,,,
6,no_voice,9,12,turn-off,44,Testing,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch1/000044.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch2/000044.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch3/000044.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch4/000044.png,,,,,,,,,,,,,,
7,no_voice,9,12,turn-off,1543,Validation,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch1/001543.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch2/001543.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch3/001543.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/turn-off/ch4/001543.png,,,,,,,,,,,,,,
8,no_voice,9,12,lights-on,963,Validation,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch1/000963.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch2/000963.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch3/000963.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch4/000963.png,,,,,,,,,,,,,,
9,no_voice,9,12,lights-on,691,Training,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch1/000691.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch2/000691.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch3/000691.png,/Users/kyy/cerebro_train/images_scaled/taylor_12_09/no_voice/12_09/lights-on/ch4/000691.png,,,,,,,,,,,,,,
