,Category,Day,Month,Label,SequenceNumber,Set,Path1,Path2,Path3,Path4,Path9,Path10,Path11,Path12,Path13,Path14,Path15,Path16,Path17,Path18,Path19,Path20,Path21,Path22
0,no_voice,6,12,turn-off,523,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch1/00523.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch2/00523.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch3/00523.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/turn-off/ch4/00523.png,,,,,,,,,,,,,,
1,no_voice,6,12,lights-on,254,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch1/00254.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch2/00254.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch3/00254.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch4/00254.png,,,,,,,,,,,,,,
2,no_voice,5,12,lights-on,196,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch1/00196.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch2/00196.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch3/00196.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch4/00196.png,,,,,,,,,,,,,,
3,no_voice,7,12,lights-on,50,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch1/00050.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch2/00050.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch3/00050.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch4/00050.png,,,,,,,,,,,,,,
4,no_voice,5,12,lights-on,437,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch1/00437.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch2/00437.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch3/00437.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_05/lights-on/ch4/00437.png,,,,,,,,,,,,,,
5,no_voice,4,12,turn-off,609,Testing,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/turn-off/ch1/00609.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/turn-off/ch2/00609.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/turn-off/ch3/00609.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/turn-off/ch4/00609.png,,,,,,,,,,,,,,
6,no_voice,6,12,lights-on,678,Validation,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch1/00678.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch2/00678.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch3/00678.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_06/lights-on/ch4/00678.png,,,,,,,,,,,,,,
7,no_voice,4,12,lights-on,238,Validation,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/lights-on/ch1/00238.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/lights-on/ch2/00238.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/lights-on/ch3/00238.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_04/lights-on/ch4/00238.png,,,,,,,,,,,,,,
8,no_voice,7,12,lights-on,79,Testing,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch1/00079.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch2/00079.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch3/00079.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/lights-on/ch4/00079.png,,,,,,,,,,,,,,
9,no_voice,7,12,turn-off,121,Training,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/turn-off/ch1/00121.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/turn-off/ch2/00121.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/turn-off/ch3/00121.png,/Users/kyy/cerebro_train/images_scaled/demo_12_04/no_voice/12_07/turn-off/ch4/00121.png,,,,,,,,,,,,,,
