,Category,Day,Month,Label,SequenceNumber,Set,Path1,Path2,Path3,Path4,Path9,Path10,Path11,Path12,Path13,Path14,Path15,Path16,Path17,Path18,Path19,Path20,Path21,Path22
0,no_voice,12,12,turn-off,4124,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch1/004124.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch2/004124.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch3/004124.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch4/004124.png,,,,,,,,,,,,,,
1,no_voice,12,12,turn-off,4334,Validation,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch1/004334.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch2/004334.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch3/004334.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch4/004334.png,,,,,,,,,,,,,,
2,no_voice,11,12,lights-on,350,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch1/000350.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch2/000350.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch3/000350.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch4/000350.png,,,,,,,,,,,,,,
3,no_voice,12,12,lights-on,4284,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch1/004284.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch2/004284.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch3/004284.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch4/004284.png,,,,,,,,,,,,,,
4,no_voice,12,12,turn-off,3954,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch1/003954.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch2/003954.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch3/003954.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch4/003954.png,,,,,,,,,,,,,,
5,no_voice,11,12,turn-off,4253,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/004253.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/004253.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/004253.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/004253.png,,,,,,,,,,,,,,
6,no_voice,11,12,turn-off,4252,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/004252.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/004252.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/004252.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/004252.png,,,,,,,,,,,,,,
7,no_voice,11,12,lights-on,2461,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch1/002461.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch2/002461.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch3/002461.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch4/002461.png,,,,,,,,,,,,,,
8,no_voice,12,12,turn-off,4064,Validation,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch1/004064.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch2/004064.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch3/004064.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch4/004064.png,,,,,,,,,,,,,,
9,no_voice,12,12,turn-off,4364,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch1/004364.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch2/004364.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch3/004364.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch4/004364.png,,,,,,,,,,,,,,
10,no_voice,11,12,turn-off,4104,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/004104.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/004104.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/004104.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/004104.png,,,,,,,,,,,,,,
11,no_voice,11,12,lights-on,1964,Validation,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch1/001964.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch2/001964.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch3/001964.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch4/001964.png,,,,,,,,,,,,,,
12,no_voice,11,12,turn-off,4244,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/004244.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/004244.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/004244.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/004244.png,,,,,,,,,,,,,,
13,no_voice,12,12,lights-on,520,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch1/000520.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch2/000520.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch3/000520.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch4/000520.png,,,,,,,,,,,,,,
14,no_voice,12,12,lights-on,3630,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch1/003630.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch2/003630.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch3/003630.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch4/003630.png,,,,,,,,,,,,,,
15,no_voice,11,12,lights-on,551,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch1/000551.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch2/000551.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch3/000551.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch4/000551.png,,,,,,,,,,,,,,
16,no_voice,11,12,lights-on,1953,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch1/001953.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch2/001953.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch3/001953.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch4/001953.png,,,,,,,,,,,,,,
17,no_voice,11,12,turn-off,281,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/000281.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/000281.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/000281.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/000281.png,,,,,,,,,,,,,,
18,no_voice,12,12,lights-on,1134,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch1/001134.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch2/001134.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch3/001134.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/lights-on/ch4/001134.png,,,,,,,,,,,,,,
19,no_voice,11,12,turn-off,403,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/000403.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/000403.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/000403.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/000403.png,,,,,,,,,,,,,,
20,no_voice,12,12,turn-off,4384,Validation,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch1/004384.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch2/004384.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch3/004384.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch4/004384.png,,,,,,,,,,,,,,
21,no_voice,11,12,lights-on,1554,Validation,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch1/001554.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch2/001554.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch3/001554.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/lights-on/ch4/001554.png,,,,,,,,,,,,,,
22,no_voice,12,12,turn-off,4253,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch1/004253.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch2/004253.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch3/004253.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_12/turn-off/ch4/004253.png,,,,,,,,,,,,,,
23,no_voice,11,12,turn-off,280,Training,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/000280.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/000280.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/000280.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/000280.png,,,,,,,,,,,,,,
24,no_voice,11,12,turn-off,3854,Testing,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch1/003854.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch2/003854.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch3/003854.png,/Users/kyy/cerebro_train/images_scaled/osc_test2/no_voice/12_11/turn-off/ch4/003854.png,,,,,,,,,,,,,,
